序号,Unicode,字符,名称,字符集
1,,,.notdef,
2,,,.notdef,
3,,,.notdef,
4,0020, ,space,
5,0021,!,exclam,
6,0022,,quotedbl,
7,0023,#,numbersign,
8,0024,$,dollar,
9,0025,%,percent,
10,0026,&,ampersand,
11,0027,',quotesingle,
12,0028,(,parenleft,
13,0029,),parenright,
14,002A,*,asterisk,
15,002B,+,plus,
16,002C,,comma,
17,002D,-,hyphen,
18,002E,.,period,
19,002F,/,slash,
20,0030,0,zero,
21,0031,1,one,
22,0032,2,two,
23,0033,3,three,
24,0034,4,four,
25,0035,5,five,
26,0036,6,six,
27,0037,7,seven,
28,0038,8,eight,
29,0039,9,nine,
30,003A,:,colon,
31,003B,;,semicolon,
32,003C,<,less,
33,003D,=,equal,
34,003E,>,greater,
35,003F,?,question,
36,0041,A,A,
37,0042,B,B,
38,0043,C,C,
39,0044,D,D,
40,0045,E,E,
41,0046,F,F,
42,0047,G,G,
43,0048,H,H,
44,0049,I,I,
45,004A,J,J,
46,004B,K,K,
47,004C,L,L,
48,004D,M,M,
49,004E,N,N,
50,004F,O,O,
51,0050,P,P,
52,0051,Q,Q,
53,0052,R,R,
54,0053,S,S,
55,0054,T,T,
56,0055,U,U,
57,0056,V,V,
58,0057,W,W,
59,0058,X,X,
60,0059,Y,Y,
61,005A,Z,Z,
62,005B,[,bracketleft,
63,005C,\,backslash,
64,005D,],bracketright,
65,005E,^,asciicircum,
66,005F,_,underscore,
67,0060,`,grave,
68,0061,a,a,
69,0062,b,b,
70,0063,c,c,
71,0064,d,d,
72,0065,e,e,
73,0066,f,f,
74,0067,g,g,
75,0068,h,h,
76,0069,i,i,
77,006A,j,j,
78,006B,k,k,
79,006C,l,l,
80,006D,m,m,
81,006E,n,n,
82,006F,o,o,
83,0070,p,p,
84,0071,q,q,
85,0072,r,r,
86,0073,s,s,
87,0074,t,t,
88,0075,u,u,
89,0076,v,v,
90,0077,w,w,
91,0078,x,x,
92,0079,y,y,
93,007A,z,z,
94,00C4,Ä,Adieresis,
95,00C5,Å,Aring,
96,00C7,Ç,Ccedilla,
97,00C9,É,Eacute,
98,00D1,Ñ,Ntilde,
99,00D6,Ö,Odieresis,
100,00DC,Ü,Udieresis,
101,00E2,â,acircumflex,
102,00E4,ä,adieresis,
103,00E3,ã,atilde,
104,00E5,å,aring,
105,00E7,ç,ccedilla,
106,00E9,é,eacute,
107,00E8,è,egrave,
108,00EA,ê,ecircumflex,
109,00EB,ë,edieresis,
110,00ED,í,iacute,
111,00EC,ì,igrave,
112,00EE,î,icircumflex,
113,00EF,ï,idieresis,
114,00F1,ñ,ntilde,
115,00F3,ó,oacute,
116,00F2,ò,ograve,
117,00F4,ô,ocircumflex,
118,00F6,ö,odieresis,
119,00F5,õ,otilde,
120,00FA,ú,uacute,
121,00F9,ù,ugrave,
122,00FB,û,ucircumflex,
123,00FC,ü,udieresis,
124,00A2,¢,cent,
125,00A3,£,sterling,
126,00A7,§,section,
127,2022,•,bullet,
128,00AE,®,registered,
129,00A9,©,copyright,
130,2122,™,trademark,GB2312
131,00B4,´,acute,
132,00A8,¨,dieresis,
133,00C6,Æ,AE,
134,00E6,æ,ae,
135,00BF,¿,questiondown,
136,00A1,¡,exclamdown,
137,00A0, ,nbspace,
138,2014,—,emdash,
139,201C,“,quotedblleft,
140,201D,”,quotedblright,
141,2018,‘,quoteleft,
142,2019,’,quoteright,
143,0131,ı,dotlessi,
144,0302,̂,circumflex,
145,0303,̃,tilde,
146,02DA,˚,ring,
备注：由于csv格式限制，“字符”列里面删除了 英文逗号(002C)，英文双引号(0022)吗，CR换行符(000D)，LF换行符(000A)